review_id,shop_id,item_id,product_name,brand,price,final_price,rating_count_total,user_id,rating_star,review_title,comment,verified_purchase,image_product,image_review,created_at,like_count,product_items,reply_content,reply_created_at,reply_user_id,reply_is_admin,reply_like_count,source,comment_clean,reply_content_clean,review_len,has_reply
Anh KhoiPD DX_201234,FPTShop,59564510814,Colorful Rimbook L1 i5- 13420H/A10205500050,Samsung,16990000.0,14990000.0,1,Anh KhoiPD DX,4.0,,Máy dùng tốt,,https://cdn2.fptshop.com.vn/unsafe/colorful_rimbook_l1_bac_01_370a0eb306.png,,2026-04-05 07:54:54.114000+00:00,0,,,,,,,FPTShop,máy dùng tốt,,12,False
Võ Diệp Khai_204189,FPTShop,741367556191,MacBook Neo 13 inch 8GB/256GB,Samsung,16490000.0,16490000.0,29,Võ Diệp Khai,5.0,,nhân viên hỗ trợ tue vấn trả góp nhanh chóng,,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,,2026-04-10 13:49:49.558000+00:00,0,,,,,,,FPTShop,nhân viên hỗ trợ tue vấn trả góp nhanh chóng,,44,False
Chị Nga Xinh Đẹp book hàng_188693,FPTShop,741367556191,MacBook Neo 13 inch 8GB/256GB,Samsung,16490000.0,16490000.0,29,Chị Nga Xinh Đẹp book hàng,5.0,,Giá mịm quá ạ,,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,,2026-03-09 02:56:32.394000+00:00,0,,,,,,,FPTShop,giá mịm quá ạ,,13,False
DƯ_187944,FPTShop,741367556191,MacBook Neo 13 inch 8GB/256GB,Samsung,16490000.0,16490000.0,29,DƯ,5.0,,"màu năm nay đẹp phết, màu hồng nhìn mê quá mê luôn shop ơi",,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,,2026-03-07 10:23:48.598000+00:00,0,,,,,,,FPTShop,màu năm nay đẹp phết màu hồng nhìn mê quá mê luôn shop ơi,,57,False
Chị Dung_187943,FPTShop,741367556191,MacBook Neo 13 inch 8GB/256GB,Samsung,16490000.0,16490000.0,29,Chị Dung,4.0,,"chi phí này thì quá ngon để tậu ngay 1 chiếc màu hồng rồi, vừa túi tiền thật sự",,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,,2026-03-07 10:23:20.606000+00:00,0,,,,,,,FPTShop,chi phí này thì quá ngon để tậu ngay 1 chiếc màu hồng rồi vừa túi tiền thật sự,,78,False
Hồng Ngọc_187936,FPTShop,741367556191,MacBook Neo 13 inch 8GB/256GB,Samsung,16490000.0,16490000.0,29,Hồng Ngọc,5.0,,"chờ đủ lâu để apple ra màu sắc đẹp như vậy, chip lại quá ngon rồi",,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,,2026-03-07 10:21:25.408000+00:00,0,,,,,,,FPTShop,chờ đủ lâu để apple ra màu sắc đẹp như vậy chip lại quá ngon rồi,,64,False
Duy Ngo Nguyen Tuong_187935,FPTShop,741367556191,MacBook Neo 13 inch 8GB/256GB,Samsung,16490000.0,16490000.0,29,Duy Ngo Nguyen Tuong,5.0,,"chip hơi hẻo ko biết có mượt như air không, hy vọng có thêm khuyến mãi cho sinh viên nữa thì ngon",,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,,2026-03-07 10:21:14.953000+00:00,0,,,,,,,FPTShop,chip hơi hẻo ko biết có mượt như air không hy vọng có thêm khuyến mãi cho sinh viên nữa thì ngon,,96,False
Trúc Trúc_187934,FPTShop,741367556191,MacBook Neo 13 inch 8GB/256GB,Samsung,16490000.0,16490000.0,29,Trúc Trúc,5.0,,"Mình mua làm đồ họa được ko, coi cấu hình với giá có vẻ ổn , màu hồng phớt bao giờ có ạ , nhỡ đâu dc trúng tai nghe thì đã quá",,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,,2026-03-07 10:21:01.829000+00:00,0,,,,,,,FPTShop,mình mua làm đồ họa được ko coi cấu hình với giá có vẻ ổn màu hồng phớt bao giờ có ạ nhỡ đâu dc trúng tai nghe thì đã quá,,121,False
Ngô Văn Toàn_187751,FPTShop,741367556191,MacBook Neo 13 inch 8GB/256GB,Samsung,16490000.0,16490000.0,29,Ngô Văn Toàn,4.0,,"Năm nay con nay giá quá tốt, màu vàng năm nay chắc hot, vừa đăng ký xong nhờ đâu trúng thêm cái tai nghe",,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Citrus_1_f70ec68b06.png,,2026-03-07 03:27:10.028000+00:00,0,,,,,,,FPTShop,năm nay con nay giá quá tốt màu vàng năm nay chắc hot vừa đăng ký xong nhờ đâu trúng thêm cái tai nghe,,102,False
chị Nga_189019,FPTShop,744543756257,MacBook Neo 13 inch 8GB/512GB,Samsung,18990000.0,18990000.0,10,chị Nga,5.0,,"Giá mịn quá ạ, với nhu cầu văn phòng và xem phim giải trí thì dòng Neo này là lựa chọn hợp lý nhất hiện nay.",,https://cdn2.fptshop.com.vn/unsafe/Mac_Book_13_in_A18_Pro_Blush_1_59890b190b.png,,2026-03-10 02:39:47.539000+00:00,0,,,,,,,FPTShop,giá mịn quá ạ với nhu cầu văn phòng và xem phim giải trí thì dòng neo này là lựa chọn hợp lý nhất hiện nay,,106,False
