shop_id,item_id,product_name,brand,review_count,avg_rating,avg_review_len,reply_count,reply_rate,xep_hang
FPTShop,431997138342,Asus Vivobook E1404FA-NK186W R5 7520U,Asus,183,5.0,127.81,86,0.4699,1
FPTShop,543667801489,Asus TUF Gaming FX507ZC4-HN095W i5 12500H,Asus,152,5.0,125.21,38,0.25,2
FPTShop,760277157906,Asus Vivobook Flip TN3402YA-LZ188W R5 7530U,Asus,115,5.0,117.73,59,0.513,3
FPTShop,359513625041,Asus Vivobook X1504VA-NJ526W i5 1335U,Asus,100,5.0,115.31,46,0.46,4
FPTShop,28677142627,Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H,Asus,92,5.0,123.96,38,0.413,5
FPTShop,28677142814,Asus TUF Gaming FX506HF-HN017W i5 11400H,Asus,75,5.0,120.76,36,0.48,6
FPTShop,147341328969,Lenovo Gaming LOQ 15IRX9 i5-13450HX (83DV012LVN),Lenovo,56,5.0,54.02,50,0.8929,7
FPTShop,634869713583,Asus TUF Gaming FA507NU-LP045W R7 7735HS,Asus,48,5.0,119.58,22,0.4583,8
FPTShop,131049410238,Asus Vivobook Go 15 E1504GA-BQ1141W i3-N305,Asus,43,5.0,65.88,38,0.8837,9
FPTShop,461653615435,Asus Vivobook A1405VA-KM257W i5 13500H,Asus,43,5.0,130.42,4,0.093,10
