item_id,product_name,review_count,product_label
431997138342,Asus Vivobook E1404FA-NK186W R5 7520U,183,Asus Vivobook E1404FA-NK186W R5 7520U
528007133007,Macbook Air 13 M4 2025 10CPU/8GPU/16GB/256GB,152,Macbook Air 13 M4 2025 10CPU/8GPU/16GB/256GB
543667801489,Asus TUF Gaming FX507ZC4-HN095W i5 12500H,152,Asus TUF Gaming FX507ZC4-HN095W i5 12500H
560716967,Macbook Air 13 M2 2024 8CPU/8GPU/16GB/256GB,149,Macbook Air 13 M2 2024 8CPU/8GPU/16GB/256GB
604379534097,Lenovo Gaming LOQ E 15IAX9E i5 12450HX (83LK0079VN),143,Lenovo Gaming LOQ E 15IAX9E i5 12450HX (83LK0079VN)
170116638221,ASUS Vivobook 15 X1504ZA-NJ517W i5-1235U,115,ASUS Vivobook 15 X1504ZA-NJ517W i5-1235U
760277157906,Asus Vivobook Flip TN3402YA-LZ188W R5 7530U,115,Asus Vivobook Flip TN3402YA-LZ188W R5 7530U
223706537163,Asus Vivobook 14 OLED A1405ZA-KM264W i5 12500H,115,Asus Vivobook 14 OLED A1405ZA-KM264W i5 12500H
359513625041,Asus Vivobook X1504VA-NJ526W i5 1335U,100,Asus Vivobook X1504VA-NJ526W i5 1335U
28677142627,Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H,92,Asus Vivobook 15 OLED A1505VA-L1113W i5 13500H
